n,FLOP/s
5600,3.23058e+09
5610,3.23635e+09
5620,3.18094e+09
5630,3.1866e+09
5640,3.19226e+09
5650,3.19792e+09
5660,3.20358e+09
5670,3.20925e+09
5680,3.21491e+09
5690,3.22057e+09
5700,3.22623e+09
5710,3.23189e+09
5720,3.20729e+09
5730,3.18315e+09
5740,3.1887e+09
5750,3.19426e+09
5760,3.19981e+09
5770,3.20537e+09
5780,3.21093e+09
5790,3.21648e+09
5800,3.22204e+09
5810,3.22759e+09
5820,3.23315e+09
5830,3.17982e+09
5840,3.18527e+09
5850,3.19073e+09
5860,3.19618e+09
5870,3.20164e+09
5880,3.20709e+09
5890,3.21255e+09
5900,3.218e+09
5910,3.22345e+09
5920,3.22891e+09
5930,3.23436e+09
5940,3.18196e+09
5950,3.18732e+09
5960,3.19268e+09
5970,3.19804e+09
5980,3.20339e+09
5990,3.20875e+09
6000,3.21411e+09
6010,3.21946e+09
6020,3.22482e+09
6030,3.17351e+09
6040,3.17877e+09
6050,3.18404e+09
6060,3.1893e+09
6070,3.13948e+09
6080,3.09136e+09
6090,3.09644e+09
6100,3.21035e+09
6110,3.21561e+09
6120,3.22088e+09
6130,3.22614e+09
6140,3.2314e+09
6150,3.20852e+09
6160,3.18603e+09
6170,3.13712e+09
6180,3.1422e+09
6190,3.09483e+09
6200,3.09983e+09
6210,3.10483e+09
6220,3.10983e+09
6230,3.11483e+09
6240,3.11983e+09
6250,3.07361e+09
6260,3.12983e+09
6270,3.13483e+09
6280,3.13983e+09
6290,3.14483e+09
6300,3.14983e+09
6310,3.12876e+09
6320,3.10803e+09
6330,3.11295e+09
6340,3.11787e+09
6350,3.12279e+09
6360,3.1277e+09
6370,3.18483e+09
6380,3.18983e+09
6390,3.19483e+09
6400,3.19983e+09
6410,3.20483e+09
6420,3.20983e+09
6430,3.21483e+09
6440,3.21983e+09
6450,3.22483e+09
6460,3.22983e+09
6470,3.23483e+09
6480,3.18672e+09
6490,3.19164e+09
6500,3.19656e+09
6510,3.20148e+09
6520,3.20639e+09
6530,3.21131e+09
6540,3.21623e+09
6550,3.22115e+09
6560,3.22607e+09
6570,3.23098e+09
6580,3.18371e+09
6590,3.18855e+09
6600,3.19339e+09
6610,3.19823e+09
6620,3.20306e+09
6630,3.2079e+09
6640,3.21274e+09
6650,3.21758e+09
6660,3.22242e+09
6670,3.22726e+09
6680,3.2321e+09
6690,3.18556e+09
6700,3.19032e+09
6710,3.19508e+09
6720,3.19984e+09
6730,3.2046e+09
6740,3.20937e+09
6750,3.21413e+09
6760,3.11985e+09
6770,3.12446e+09
6780,3.22841e+09
6790,3.18266e+09
6800,3.18734e+09
6810,3.0953e+09
6820,3.09985e+09
6830,3.10439e+09
6840,3.10894e+09
6850,3.16138e+09
6860,3.21547e+09
6870,3.22016e+09
6880,3.12712e+09
6890,3.13167e+09
6900,3.13621e+09
6910,3.09388e+09
6920,3.19369e+09
6930,3.19831e+09
6940,3.20292e+09
6950,3.20754e+09
6960,3.21215e+09
6970,3.21677e+09
6980,3.22138e+09
6990,3.226e+09
7000,3.23062e+09
7010,3.18621e+09
7020,3.19076e+09
7030,3.1953e+09
7040,3.19985e+09
7050,3.20439e+09
7060,3.20894e+09
7070,3.21348e+09
7080,3.21803e+09
7090,3.22258e+09
7100,3.22712e+09
7110,3.18343e+09
7120,3.18791e+09
7130,3.19239e+09
7140,3.19687e+09
7150,3.20134e+09
7160,3.20582e+09
7170,3.2103e+09
7180,3.21478e+09
7190,3.21925e+09
7200,3.22373e+09
7210,3.22821e+09
7220,3.23269e+09
7230,3.18956e+09
7240,3.19397e+09
7250,3.19838e+09
7260,3.20279e+09
7270,3.20721e+09
7280,3.21162e+09
7290,3.21603e+09
7300,3.17377e+09
7310,3.22485e+09
7320,3.22926e+09
7330,3.18681e+09
7340,3.19116e+09
7350,3.19551e+09
7360,3.19986e+09
7370,3.2042e+09
7380,3.20855e+09
7390,3.2129e+09
7400,3.21725e+09
7410,3.22159e+09
7420,3.22594e+09
7430,3.20705e+09
7440,3.18843e+09
7450,3.19271e+09
7460,3.197e+09
7470,3.20129e+09
7480,3.20557e+09
7490,3.20986e+09
7500,3.21414e+09
7510,3.21843e+09
7520,3.22271e+09
7530,3.227e+09
7540,3.23129e+09
7550,3.19e+09
7560,3.19423e+09
7570,3.19845e+09
7580,3.20268e+09
7590,3.2069e+09
7600,3.21113e+09
7610,3.21535e+09
7620,3.21958e+09
7630,3.2238e+09
7640,3.22803e+09
7650,3.20965e+09
7660,3.19153e+09
7670,3.19569e+09
7680,3.19986e+09
7690,3.20403e+09
7700,3.20819e+09
7710,3.21236e+09
7720,3.21653e+09
7730,3.22069e+09
7740,3.22486e+09
7750,3.22903e+09
7760,3.1889e+09
7770,3.19301e+09
7780,3.19712e+09
7790,3.20123e+09
7800,3.20534e+09
7810,3.20945e+09
7820,3.21356e+09
7830,3.21767e+09
7840,3.22178e+09
7850,3.22589e+09
7860,3.23e+09
7870,3.23411e+09
7880,3.19446e+09
7890,3.19851e+09
7900,3.20257e+09
7910,3.20662e+09
7920,3.21068e+09
7930,3.21473e+09
7940,3.21878e+09
7950,3.22284e+09
7960,3.22689e+09
7970,3.18787e+09
7980,3.19187e+09
7990,3.19587e+09
8000,3.19987e+09
8010,3.20387e+09
8020,3.20787e+09
8030,3.21187e+09
8040,3.21587e+09
8050,3.21987e+09
8060,3.22387e+09
8070,3.22787e+09
8080,3.18934e+09
8090,3.19329e+09
8100,3.19724e+09
8110,3.20118e+09
8120,3.20513e+09
8130,3.20908e+09
8140,3.21303e+09
8150,3.21697e+09
8160,3.22092e+09
8170,3.22487e+09
8180,3.22882e+09
8190,3.19078e+09
8200,3.19468e+09
8210,3.19857e+09
8220,3.20247e+09
8230,3.20636e+09
8240,3.21026e+09
8250,3.34446e+09
8260,3.34851e+09
8270,3.35257e+09
8280,3.35662e+09
8290,3.36068e+09
8300,3.36473e+09
8310,3.36878e+09
8320,3.37284e+09
8330,3.37689e+09
8340,3.38095e+09
8350,3.33987e+09
8360,3.34387e+09
8370,3.30382e+09
8380,3.35187e+09
8390,3.35587e+09
8400,3.35987e+09
8410,3.36387e+09
8420,3.36787e+09
8430,3.37187e+09
8440,3.37587e+09
8450,3.33539e+09
8460,3.33934e+09
8470,3.34329e+09
8480,3.34724e+09
8490,3.35118e+09
8500,3.35513e+09
8510,3.35908e+09
8520,3.36303e+09
8530,3.36697e+09
8540,3.37092e+09
8550,3.37487e+09
8560,3.37882e+09
8570,3.38276e+09
8580,3.34273e+09
8590,3.34662e+09
8600,3.35052e+09
